"Pokemon","Fast.Move","Charged.Move","DPS","TDO","DPS.3.TDO","CP","fastType","fastDmg","fastDps","chargeType","chargeDmg","chargeDps"
"5410","Muk","Acid","Dark Pulse",10.287,331.1,360.4,2757,"poison","9","11.3","dark","80","26.7"
"5411","Galarian Farfetch'd","Rock Smash","Leaf Blade",10.285,143.6,156.3,1674,"fighting","15","11.5","grass","70","29.2"
"5412","Mew","Cut","Dark Pulse",10.285,385.4,419.4,3265,"normal","5","10","dark","80","26.7"
"5413","Ninetales","Fire Spin","Solar Beam",10.285,280.9,305.7,2279,"fire","14","12.7","grass","180","36.7"
"5414","Mew","Struggle Bug","Hyper Beam",10.284,385.4,419.1,3265,"bug","15","10","normal","150","39.5"
"5415","Lilligant","Hidden Power (Fire)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5416","Lilligant","Hidden Power (Fighting)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5417","Lilligant","Hidden Power (Water)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5418","Lilligant","Hidden Power (Flying)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5419","Lilligant","Hidden Power (Poison)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5420","Lilligant","Hidden Power (Electric)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5421","Lilligant","Hidden Power (Ground)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5422","Lilligant","Hidden Power (Psychic)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5423","Lilligant","Hidden Power (Rock)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5424","Lilligant","Hidden Power (Ice)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5425","Lilligant","Hidden Power (Bug)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5426","Lilligant","Hidden Power (Dragon)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5427","Lilligant","Hidden Power (Ghost)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5428","Lilligant","Hidden Power (Dark)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5429","Lilligant","Hidden Power (Steel)","Hyper Beam",10.283,226.9,246.7,2550,NA,NA,NA,"normal","150","39.5"
"5430","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5431","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5432","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5433","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5434","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5435","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5436","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5437","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5438","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5439","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5440","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5441","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5442","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5443","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5444","Lilligant","Hidden Power","Hyper Beam",10.283,226.9,246.7,2550,"normal","15","10","normal","150","39.5"
"5445","Grotle","Razor Leaf","Solar Beam",10.28,220.9,240,1890,"grass","13","13","grass","180","36.7"
"5446","Manectric","Charge Beam","Flame Burst",10.28,189.4,205.8,2340,"electric","8","7.3","fire","70","26.9"
"5447","Mew","Charge Beam","Rock Slide",10.279,385.2,418.3,3265,"electric","8","7.3","rock","80","29.6"
"5448","Boldore","Smack Down","Solar Beam",10.278,210.8,228.9,2029,"rock","16","13.3","grass","180","36.7"
"5449","Cryogonal","Frost Breath","Aurora Beam",10.277,340.6,369.7,2798,"ice","10","11.1","ice","80","22.5"
"5450","Bellsprout","Acid","Sludge Bomb",10.276,82.4,89.4,1033,"poison","9","11.3","poison","80","34.8"
"5451","Huntail","Bite","Ice Beam",10.274,222.7,241.5,2340,"dark","6","12","ice","90","27.3"
"5452","Armored Mewtwo","Confusion","Rock Slide",10.272,478.3,518.4,3187,"psychic","20","12.5","rock","80","29.6"
"5453","Gastly","Lick","Dark Pulse",10.272,68.4,74.1,1229,"ghost","5","10","dark","80","26.7"
"5454","Shadow Gliscor","Fury Cutter","Night Slash",10.272,276,299.1,2692,"bug","3","7.5","dark","50","22.7"
"5455","Mew","Pound","Gyro Ball",10.271,384.9,417,3265,"normal","7","11.7","steel","80","24.2"
"5456","Shadow Porygon","Charge Beam","Hyper Beam",10.27,159.6,172.9,1720,"electric","8","7.3","normal","150","39.5"
"5457","Kricketune","Fury Cutter","X-Scissor",10.269,163.1,176.6,1653,"bug","3","7.5","bug","45","28.1"
"5458","Mega Steelix","Dragon Tail","Crunch",10.268,525.4,568.9,3670,"dragon","15","13.6","dark","70","21.9"
"5459","Shadow Dragonair","Iron Tail","Aqua Tail",10.268,152.3,164.9,1780,"steel","15","13.6","water","50","26.3"
"5460","Poliwrath","Rock Smash","Power-Up Punch",10.267,314.8,340.7,2586,"fighting","15","11.5","fighting","50","25"
"5461","Sandslash","Mud Shot","Return",10.267,265.3,287.1,2374,"ground","5","8.3","normal","35","50"
"5462","Shadow Ninetales","Ember","Heat Wave",10.267,233.7,252.9,2279,"fire","10","10","fire","95","31.7"
"5463","Amoonguss","Astonish","Grass Knot",10.266,289.6,313.3,2140,"ghost","8","7.3","grass","90","34.6"
"5464","Nidoqueen","Poison Jab","Stone Edge",10.266,297.3,321.7,2488,"poison","10","12.5","rock","100","43.5"
"5465","Mew","Waterfall","Stone Edge",10.264,384.6,415.9,3265,"water","16","13.3","rock","100","43.5"
"5466","Simipour","Bite","Crunch",10.263,206.6,223.3,2350,"dark","6","12","dark","70","21.9"
"5467","Simisage","Bite","Crunch",10.263,206.6,223.3,2350,"dark","6","12","dark","70","21.9"
"5468","Simisear","Bite","Crunch",10.263,206.6,223.3,2350,"dark","6","12","dark","70","21.9"
"5469","Swanna","Water Gun","Bubble Beam",10.263,205.2,221.8,2088,"water","5","10","water","45","23.7"
"5470","Ferrothorn","Bullet Seed","Power Whip",10.262,328.8,355.3,2321,"grass","8","7.3","grass","90","34.6"
"5471","Rapidash","Ember","Heat Wave",10.261,224.4,242.4,2461,"fire","10","10","fire","95","31.7"
"5472","Arbok","Acid","Return",10.26,203.3,219.6,1921,"poison","9","11.3","normal","35","50"
"5473","Cofagrigus","Zen Headbutt","Shadow Ball",10.257,297.8,321.3,2273,"psychic","12","10.9","ghost","100","33.3"
"5474","Machoke","Low Kick","Cross Chop",10.257,204.3,220.4,2031,"fighting","6","10","fighting","50","33.3"
"5475","Mew","Struggle Bug","Ice Beam",10.257,384.4,414.7,3265,"bug","15","10","ice","90","27.3"
"5476","Rotom","Thunder Shock","Thunder",10.257,188.2,203.1,2031,"electric","5","8.3","electric","100","41.7"
"5477","Shadow Machop","Low Kick","Cross Chop",10.257,107.6,116.1,1278,"fighting","6","10","fighting","50","33.3"
"5478","Shadow Weezing","Infestation","Dark Pulse",10.256,223.8,241.4,2293,"bug","10","9.1","dark","80","26.7"
"5479","Hitmonchan","Bullet Punch","Return",10.255,229.3,247.3,2332,"steel","9","10","normal","35","50"
"5480","Politoed","Bubble","Return",10.255,306.5,330.5,2449,"water","12","10","normal","35","50"
"5481","Bellossom","Razor Leaf","Return",10.253,280.3,302.1,2281,"grass","13","13","normal","35","50"
"5482","Gastly","Lick","Night Shade",10.252,68.3,73.5,1229,"ghost","5","10","ghost","60","23.1"
"5483","Mew","Poison Jab","Flash Cannon",10.247,384,413.2,3265,"poison","10","12.5","steel","100","37"
"5484","Ninetales","Feint Attack","Overheat",10.247,279.9,301.2,2279,"dark","10","11.1","fire","160","40"
"5485","Sunflora","Bullet Seed","Sludge Bomb",10.247,209.1,224.9,2141,"grass","8","7.3","poison","80","34.8"
"5486","Tranquill","Air Slash","Sky Attack",10.246,150.1,161.4,1442,"flying","14","11.7","flying","80","40"
"5487","Lairon","Metal Claw","Heavy Slam",10.244,257.4,276.8,2056,"steel","8","11.4","steel","70","33.3"
"5488","Camerupt","Rock Smash","Earthquake",10.242,200.7,215.6,2193,"fighting","15","11.5","ground","140","38.9"
"5489","Mew","Charge Beam","Ice Beam",10.241,383.8,412.2,3265,"electric","8","7.3","ice","90","27.3"
"5490","Shadow Dusknoir","Astonish","Dark Pulse",10.24,227.8,244.6,2388,"ghost","8","7.3","dark","80","26.7"
"5491","Qwilfish","Water Gun","Sludge Wave",10.236,193.5,207.5,2051,"water","5","10","poison","110","34.4"
"5492","Mew","Struggle Bug","Dragon Claw",10.235,383.6,411.2,3265,"bug","15","10","dragon","50","29.4"
"5493","Mew","Poison Jab","Gyro Ball",10.235,383.5,411.2,3265,"poison","10","12.5","steel","80","24.2"
"5494","Hitmonchan","Rock Smash","Brick Break",10.233,228.8,245.2,2332,"fighting","15","11.5","fighting","40","25"
"5495","Bouffalant","Mud Shot","Stomp",10.232,323.1,346.2,2797,"ground","5","8.3","normal","55","32.4"
"5496","Plusle","Spark","Grass Knot",10.23,173.8,186.1,1778,"electric","6","8.6","grass","90","34.6"
"5497","Shadow Golbat","Wing Attack","Air Cutter",10.23,191.3,204.8,1976,"flying","8","10","flying","60","22.2"
"5498","Feraligatr","Water Gun","Crunch",10.229,307,328.6,2857,"water","5","10","dark","70","21.9"
"5499","Stantler","Zen Headbutt","Stomp",10.227,199,212.8,2164,"psychic","12","10.9","normal","55","32.4"
"5500","Fraxure","Iron Tail","Night Slash",10.226,176.3,188.5,2234,"steel","15","13.6","dark","50","22.7"
"5501","Mew","Pound","Energy Ball",10.226,383.2,409.8,3265,"normal","7","11.7","grass","90","23.1"
"5502","Shadow Trapinch","Mud Shot","Crunch",10.225,78.6,84.1,1274,"ground","5","8.3","dark","70","21.9"
"5503","Lapras","Frost Breath","Hydro Pump",10.22,391.4,417.8,2641,"ice","10","11.1","water","130","39.4"
"5504","Mew","Steel Wing","Bulldoze",10.217,382.9,408.3,3265,"steel","11","13.8","ground","80","22.9"
"5505","Mew","Rock Smash","Focus Blast",10.217,382.9,408.3,3265,"fighting","15","11.5","fighting","140","40"
"5506","Poliwrath","Mud Shot","Hydro Pump",10.217,313.2,334,2586,"ground","5","8.3","water","130","39.4"
"5507","Torterra","Bite","Stone Edge",10.215,332.4,354.3,2934,"dark","6","12","rock","100","43.5"
"5508","Bouffalant","Zen Headbutt","Stomp",10.214,322.6,343.8,2797,"psychic","12","10.9","normal","55","32.4"
"5509","Amoonguss","Feint Attack","Sludge Bomb",10.212,288.1,306.8,2140,"dark","10","11.1","poison","80","34.8"
"5510","Primeape","Karate Chop","Night Slash",10.212,193,205.5,2288,"fighting","8","10","dark","50","22.7"
"5511","Porygon2","Charge Beam","Solar Beam",10.211,294.3,313.4,2711,"electric","8","7.3","grass","180","36.7"
"5512","Hippowdon","Bite","Stone Edge",10.21,370.8,394.6,3085,"dark","6","12","rock","100","43.5"
"5513","Butterfree","Bug Bite","Bug Buzz",10.208,183.1,194.8,1827,"bug","5","10","bug","90","24.3"
"5514","Shadow Porygon","Tackle","Zap Cannon",10.208,158.7,168.8,1720,"normal","5","10","electric","140","37.8"
"5515","Castform (Snowy)","Powder Snow","Weather Ball Ice",10.207,204,216.9,1632,"ice","6","6",NA,NA,NA
"5516","Mew","Rock Smash","Blizzard",10.207,382.5,406.7,3265,"fighting","15","11.5","ice","130","41.9"
"5517","Fearow","Peck","Aerial Ace",10.206,186.6,198.4,1997,"flying","10","10","flying","55","22.9"
"5518","Abra","Charge Beam","Return",10.204,74.2,78.8,1342,"electric","8","7.3","normal","35","50"
"5519","Staravia","Quick Attack","Brave Bird",10.204,124.3,132,1299,"normal","8","10","flying","130","65"
"5520","Emolga","Thunder Shock","Discharge",10.202,161.9,171.9,1633,"electric","5","8.3","electric","65","26"
"5521","Deoxys (Speed Forme)","Zen Headbutt","Swift",10.201,250.7,266.1,2879,"psychic","12","10.9","normal","60","21.4"
"5522","Slaking","Yawn","Play Rough",10.201,383.1,406.7,4431,"normal","0","0","fairy","90","31"
"5523","Tauros","Tackle","Horn Attack",10.201,274.7,291.6,2620,"normal","5","10","normal","40","21.6"
"5524","Mew","Charge Beam","Dragon Claw",10.2,382.2,405.7,3265,"electric","8","7.3","dragon","50","29.4"
"5525","Seismitoad","Mud Shot","Muddy Water",10.2,289.6,307.4,2564,"ground","5","8.3","water","50","22.7"
"5526","Swanna","Air Slash","Bubble Beam",10.2,204,216.5,2088,"flying","14","11.7","water","45","23.7"
"5527","Togekiss","Hidden Power (Flying)","Ancient Power",10.2,349.8,371.1,3332,NA,NA,NA,"rock","70","20"
"5528","Togekiss","Hidden Power","Ancient Power",10.2,349.8,371.1,3332,"normal","15","10","rock","70","20"
"5529","Sawsbuck","Take Down","Solar Beam",10.199,233.6,247.8,2416,"normal","8","6.7","grass","180","36.7"
"5530","Shadow Hypno","Confusion","Focus Blast",10.199,261.3,277.3,2090,"psychic","20","12.5","fighting","140","40"
"5531","Parasect","Fury Cutter","X-Scissor",10.198,193.7,205.4,1859,"bug","3","7.5","bug","45","28.1"
"5532","Galarian Rapidash","Low Kick","Megahorn",10.197,222.9,236.4,2461,"fighting","6","10","bug","110","50"
"5533","Pelipper","Water Gun","Hurricane",10.197,227.4,241,2127,"water","5","10","flying","110","40.7"
"5534","Clefable","Pound","Moonblast",10.195,289.3,306.5,2437,"normal","7","11.7","fairy","130","33.3"
"5535","Mew","Poison Jab","Energy Ball",10.195,382.1,404.9,3265,"poison","10","12.5","grass","90","23.1"
"5536","Jynx","Pound","Draining Kiss",10.194,209,221.5,2555,"normal","7","11.7","fairy","60","23.1"
"5537","Kangaskhan","Mud Slap","Outrage",10.194,315.8,334.5,2586,NA,NA,NA,"dragon","110","28.2"
"5538","Venomoth","Confusion","Bug Buzz",10.194,209,221.4,2082,"psychic","20","12.5","bug","90","24.3"
"5539","Hippowdon","Bite","Body Slam",10.191,370,391.6,3085,"dark","6","12","normal","50","26.3"
"5540","Ivysaur","Razor Leaf","Sludge Bomb",10.19,189.9,201,1699,"grass","13","13","poison","80","34.8"
"5541","Mew","Snarl","Gyro Ball",10.188,381.8,403.7,3265,"dark","12","10.9","steel","80","24.2"
"5542","Starmie","Hidden Power (Fire)","Ice Beam",10.187,239.2,252.8,2584,NA,NA,NA,"ice","90","27.3"
"5543","Starmie","Hidden Power (Fighting)","Ice Beam",10.187,239.2,252.8,2584,NA,NA,NA,"ice","90","27.3"
"5544","Starmie","Hidden Power (Flying)","Ice Beam",10.187,239.2,252.8,2584,NA,NA,NA,"ice","90","27.3"
"5545","Starmie","Hidden Power (Grass)","Ice Beam",10.187,239.2,252.8,2584,NA,NA,NA,"ice","90","27.3"
"5546","Starmie","Hidden Power (Poison)","Ice Beam",10.187,239.2,252.8,2584,NA,NA,NA,"ice","90","27.3"
"5547","Starmie","Hidden Power (Electric)","Ice Beam",10.187,239.2,252.8,2584,NA,NA,NA,"ice","90","27.3"
"5548","Starmie","Hidden Power (Ground)","Ice Beam",10.187,239.2,252.8,2584,NA,NA,NA,"ice","90","27.3"
"5549","Starmie","Hidden Power (Rock)","Ice Beam",10.187,239.2,252.8,2584,NA,NA,NA,"ice","90","27.3"
"5550","Starmie","Hidden Power (Ice)","Ice Beam",10.187,239.2,252.8,2584,NA,NA,NA,"ice","90","27.3"
"5551","Starmie","Hidden Power (Bug)","Ice Beam",10.187,239.2,252.8,2584,NA,NA,NA,"ice","90","27.3"
"5552","Starmie","Hidden Power (Dragon)","Ice Beam",10.187,239.2,252.8,2584,NA,NA,NA,"ice","90","27.3"
"5553","Starmie","Hidden Power (Ghost)","Ice Beam",10.187,239.2,252.8,2584,NA,NA,NA,"ice","90","27.3"
"5554","Starmie","Hidden Power (Dark)","Ice Beam",10.187,239.2,252.8,2584,NA,NA,NA,"ice","90","27.3"
"5555","Starmie","Hidden Power (Steel)","Ice Beam",10.187,239.2,252.8,2584,NA,NA,NA,"ice","90","27.3"
"5556","Starmie","Hidden Power","Ice Beam",10.187,239.2,252.8,2584,"normal","15","10","ice","90","27.3"
"5557","Starmie","Hidden Power","Ice Beam",10.187,239.2,252.8,2584,"normal","15","10","ice","90","27.3"
"5558","Starmie","Hidden Power","Ice Beam",10.187,239.2,252.8,2584,"normal","15","10","ice","90","27.3"
"5559","Starmie","Hidden Power","Ice Beam",10.187,239.2,252.8,2584,"normal","15","10","ice","90","27.3"
"5560","Starmie","Hidden Power","Ice Beam",10.187,239.2,252.8,2584,"normal","15","10","ice","90","27.3"
"5561","Starmie","Hidden Power","Ice Beam",10.187,239.2,252.8,2584,"normal","15","10","ice","90","27.3"
"5562","Starmie","Hidden Power","Ice Beam",10.187,239.2,252.8,2584,"normal","15","10","ice","90","27.3"
"5563","Starmie","Hidden Power","Ice Beam",10.187,239.2,252.8,2584,"normal","15","10","ice","90","27.3"
"5564","Starmie","Hidden Power","Ice Beam",10.187,239.2,252.8,2584,"normal","15","10","ice","90","27.3"
"5565","Starmie","Hidden Power","Ice Beam",10.187,239.2,252.8,2584,"normal","15","10","ice","90","27.3"
"5566","Starmie","Hidden Power","Ice Beam",10.187,239.2,252.8,2584,"normal","15","10","ice","90","27.3"
"5567","Starmie","Hidden Power","Ice Beam",10.187,239.2,252.8,2584,"normal","15","10","ice","90","27.3"
"5568","Starmie","Hidden Power","Ice Beam",10.187,239.2,252.8,2584,"normal","15","10","ice","90","27.3"
"5569","Starmie","Hidden Power","Ice Beam",10.187,239.2,252.8,2584,"normal","15","10","ice","90","27.3"
"5570","Drilbur","Mud Slap","Drill Run",10.184,120.1,126.9,1376,NA,NA,NA,"ground","80","28.6"
"5571","Venomoth","Confusion","Psychic",10.183,208.8,220.5,2082,"psychic","20","12.5","psychic","90","32.1"
"5572","Gyarados","Waterfall","Twister",10.181,328,346.2,3391,"water","16","13.3","dragon","45","16.1"
"5573","Raticate","Bite","Return",10.18,175.2,184.8,1730,"dark","6","12","normal","35","50"
"5574","Shadow Beedrill","Infestation","Aerial Ace",10.179,151.9,160.3,1846,"bug","10","9.1","flying","55","22.9"
"5575","Masquerain","Air Slash","Silver Wind",10.178,217.9,229.8,2270,"flying","14","11.7","bug","70","18.9"
"5576","Golduck","Confusion","Bubble Beam",10.176,256.2,270,2450,"psychic","20","12.5","water","45","23.7"
"5577","Mew","Waterfall","Thunder",10.176,381.4,401.9,3265,"water","16","13.3","electric","100","41.7"
"5578","Galvantula","Fury Cutter","Cross Poison",10.174,188.8,198.8,2206,"bug","3","7.5","poison","40","26.7"
"5579","Nidoqueen","Bite","Return",10.173,294.7,310.3,2488,"dark","6","12","normal","35","50"
"5580","Floatzel","Water Gun","Swift",10.171,193.9,204,2443,"water","5","10","normal","60","21.4"
"5581","Raichu","Volt Switch","Thunder",10.171,199.2,209.6,2182,"electric","14","8.8","electric","100","41.7"
"5582","Mew","Frost Breath","Dark Pulse",10.169,381.1,400.7,3265,"ice","10","11.1","dark","80","26.7"
"5583","Darumaka","Fire Fang","Fire Punch",10.168,133.3,140.1,1442,"fire","12","13.3","fire","55","25"
"5584","Beheeyem","Astonish","Dark Pulse",10.167,246.1,258.7,2753,"ghost","8","7.3","dark","80","26.7"
"5585","Muk","Poison Jab","Thunder Punch",10.165,327.1,343.6,2757,"poison","10","12.5","electric","45","25"
"5586","Emolga","Quick Attack","Thunderbolt",10.164,161.3,169.4,1633,"normal","8","10","electric","80","32"
"5587","Torkoal","Fire Spin","Overheat",10.164,287.5,301.9,2093,"fire","14","12.7","fire","160","40"
"5588","Machoke","Karate Chop","Brick Break",10.16,202.4,212.2,2031,"fighting","8","10","fighting","40","25"
"5589","Castform (Sunny)","Ember","Weather Ball Fire",10.159,203,212.9,1632,"fire","10","10",NA,NA,NA
"5590","Kingdra","Dragon Breath","Octazooka",10.158,288.8,302.7,2641,"dragon","6","12","water","50","21.7"
"5591","Mew","Dragon Tail","Bulldoze",10.158,380.7,399,3265,"dragon","15","13.6","ground","80","22.9"
"5592","Shadow Marowak","Mud Slap","Bone Club",10.158,200.7,210.4,1835,NA,NA,NA,"ground","40","25"
"5593","Shadow Carvanha","Snarl","Poison Fang",10.157,45.4,47.5,1020,"dark","12","10.9","poison","35","20.6"
"5594","Charmeleon","Fire Fang","Fire Punch",10.152,164.9,172.5,1653,"fire","12","13.3","fire","55","25"
"5595","Kingdra","Waterfall","Octazooka",10.151,288.6,301.8,2641,"water","16","13.3","water","50","21.7"
"5596","Mew","Infestation","Dark Pulse",10.151,380.4,397.9,3265,"bug","10","9.1","dark","80","26.7"
"5597","Mew","Snarl","Flash Cannon",10.151,380.4,397.9,3265,"dark","12","10.9","steel","100","37"
"5598","Tangrowth","Vine Whip","Ancient Power",10.151,336.4,351.9,3030,"grass","7","11.7","rock","70","20"
"5599","Lunatone","Rock Throw","Moonblast",10.15,262.7,274.7,2327,"rock","12","13.3","fairy","130","33.3"
"5600","Tranquill","Steel Wing","Sky Attack",10.15,148.7,155.5,1442,"steel","11","13.8","flying","80","40"
"5601","Nuzleaf","Feint Attack","Grass Knot",10.149,122.5,128,1227,"dark","10","11.1","grass","90","34.6"
"5602","Flygon","Mud Shot","Stone Edge",10.148,264.2,276.1,2661,"ground","5","8.3","rock","100","43.5"
"5603","Shadow Machop","Karate Chop","Brick Break",10.148,106.5,111.2,1278,"fighting","8","10","fighting","40","25"
"5604","Bronzong","Feint Attack","Psychic",10.146,292.2,305.1,2239,"dark","10","11.1","psychic","90","32.1"
"5605","Dragonair","Dragon Breath","Dragon Pulse",10.146,180.6,188.7,1780,"dragon","6","12","dragon","90","25"
"5606","Mew","Snarl","Energy Ball",10.145,380.2,396.9,3265,"dark","12","10.9","grass","90","23.1"
"5607","Qwilfish","Water Gun","Ice Beam",10.145,191.7,200.2,2051,"water","5","10","ice","90","27.3"
"5608","Butterfree","Bug Bite","Signal Beam",10.143,181.9,189.8,1827,"bug","5","10","bug","75","25.9"
"5609","Pelipper","Wing Attack","Hurricane",10.143,226.2,236,2127,"flying","8","10","flying","110","40.7"
"5610","Basculin","Tackle","Muddy Water",10.142,189.5,197.7,2090,"normal","5","10","water","50","22.7"
"5611","Mew","Cut","Stone Edge",10.141,380,396.3,3265,"normal","5","10","rock","100","43.5"
"5612","Relicanth","Water Gun","Hydro Pump",10.14,368.2,383.9,2528,"water","5","10","water","130","39.4"
"5613","Altaria","Dragon Breath","Sky Attack",10.139,297.9,310.5,2004,"dragon","6","12","flying","80","40"
"5614","Electabuzz","Low Kick","Thunder",10.139,216.7,225.9,2334,"fighting","6","10","electric","100","41.7"
"5615","Venomoth","Confusion","Return",10.139,207.9,216.7,2082,"psychic","20","12.5","normal","35","50"
"5616","Watchog","Low Kick","Hyper Fang",10.138,184.2,191.9,1819,"fighting","6","10","normal","80","32"
"5617","Lairon","Metal Claw","Rock Slide",10.136,254.7,265.2,2056,"steel","8","11.4","rock","80","29.6"
"5618","Mawile","Fire Fang","Play Rough",10.135,166.8,173.6,1634,"fire","12","13.3","fairy","90","31"
"5619","Poliwrath","Bubble","Submission",10.134,310.7,323.4,2586,"water","12","10","fighting","60","27.3"
"5620","Shadow Forretress","Struggle Bug","Earthquake",10.133,252.7,262.9,2282,"bug","15","10","ground","140","38.9"
"5621","Cradily","Acid","Grass Knot",10.131,315.9,328.5,2211,"poison","9","11.3","grass","90","34.6"
"5622","Walrein","Frost Breath","Earthquake",10.131,345.1,358.9,2726,"ice","10","11.1","ground","140","38.9"
"5623","Sawsbuck","Feint Attack","Megahorn",10.129,232,241.1,2416,"dark","10","11.1","bug","110","50"
"5624","Druddigon","Bite","Night Slash",10.128,258.8,268.9,2732,"dark","6","12","dark","50","22.7"
"5625","Bellossom","Razor Leaf","Petal Blizzard",10.126,276.8,287.4,2281,"grass","13","13","grass","110","42.3"
"5626","Cradily","Infestation","Grass Knot",10.126,315.8,327.9,2211,"bug","10","9.1","grass","90","34.6"
"5627","Cinccino","Charm","Aqua Tail",10.123,199.7,207.1,2242,"fairy","20","13.3","water","50","26.3"
"5628","Shadow Gloom","Razor Leaf","Moonblast",10.123,150.3,155.9,1681,"grass","13","13","fairy","130","33.3"
"5629","Swoobat","Confusion","Future Sight",10.123,171.3,177.7,1716,"psychic","20","12.5","psychic","120","44.4"
"5630","Gastly","Sucker Punch","Ominous Wind",10.122,67.4,69.9,1229,"dark","7","10","ghost","50","21.7"
"5631","Beedrill","Infestation","X-Scissor",10.121,181.3,188,1846,"bug","10","9.1","bug","45","28.1"
"5632","Sceptile","Bullet Seed","Aerial Ace",10.12,241.7,250.5,2757,"grass","8","7.3","flying","55","22.9"
"5633","Gliscor","Fury Cutter","Aerial Ace",10.118,326.2,337.8,2692,"bug","3","7.5","flying","55","22.9"
"5634","Mew","Charge Beam","Focus Blast",10.118,379.2,392.8,3265,"electric","8","7.3","fighting","140","40"
"5635","Shadow Metang","Zen Headbutt","Psyshock",10.118,190,196.8,1721,"psychic","12","10.9","psychic","65","24.1"
"5636","Cobalion","Zen Headbutt","Iron Head",10.117,383.7,397.4,3022,"psychic","12","10.9","steel","60","31.6"
"5637","Mew","Shadow Claw","Bulldoze",10.117,379.1,392.6,3265,"ghost","9","12.9","ground","80","22.9"
"5638","Shadow Kirlia","Confusion","Psychic",10.117,80.5,83.3,966,"psychic","20","12.5","psychic","90","32.1"
"5639","Mew","Struggle Bug","Focus Blast",10.116,379.1,392.4,3265,"bug","15","10","fighting","140","40"
"5640","Kangaskhan","Mud Slap","Stomp",10.115,313.4,324.3,2586,NA,NA,NA,"normal","55","32.4"
"5641","Swanna","Water Gun","Ice Beam",10.109,202.1,208.8,2088,"water","5","10","ice","90","27.3"
"5642","Mesprit","Confusion","Swift",10.108,326.4,337.1,3058,"psychic","20","12.5","normal","60","21.4"
"5643","Beautifly","Infestation","Silver Wind",10.107,134.7,139.1,1765,"bug","10","9.1","bug","70","18.9"
"5644","Ludicolo","Razor Leaf","Energy Ball",10.106,274.6,283.4,2323,"grass","13","13","grass","90","23.1"
"5645","Seaking","Waterfall","Megahorn",10.106,232.9,240.4,2162,"water","16","13.3","bug","110","50"
"5646","Alolan Sandslash","Powder Snow","Blizzard",10.105,288.6,297.9,2432,"ice","6","6","ice","130","41.9"
"5647","Blastoise","Water Gun","Return",10.105,316,326.1,2466,"water","5","10","normal","35","50"
"5648","Ninetales","Ember","Flamethrower",10.102,275.9,284.4,2279,"fire","10","10","fire","70","31.8"
"5649","Musharna","Charge Beam","Future Sight",10.101,340,350.5,2723,"electric","8","7.3","psychic","120","44.4"
"5650","Mew","Struggle Bug","Blizzard",10.1,378.5,390,3265,"bug","15","10","ice","130","41.9"
